Longitude,Latitude,depth,Band_1,Band_2,Band_3,Band_4
113.0662177,34.84529636,3.965,1038,1181,1356,1041
113.0719033,34.84997878,1.69,1042,1176,1378,1010
113.0648024,34.83894975,2.3375,985,1146,1234,1444
113.0689628,34.8503455,3.856666667,1051,1181,1364,1049
113.0636903,34.83928358,3.57,890,993,964,1066
113.0599823,34.84060569,2.6075,1056,1186,1368,1011
113.0603145,34.84128909,1.34,1044,1194,1371,984
113.0707857,34.8383722,2.555,1032,1162,1324,1034
113.0626075,34.83966334,1.9025,840,898,828,693
113.0725148,34.83781708,1.6125,1007,1137,1330,1040
113.0661207,34.84545678,4.5775,1044,1156,1352,1051
113.0633647,34.83963542,1.625,934,1027,1059,765
113.061413,34.84222282,2.555,1042,1171,1366,992
113.0587701,34.8393274,3.08,1021,1135,1328,1078
113.0738525,34.83795291,1.8925,999,1158,1332,1025
113.0610531,34.84174442,3.2875,1049,1185,1367,980
113.0620521,34.83771812,2.9525,830,886,844,927
113.0749248,34.83777833,2.6475,1049,1204,1365,1338
113.0646262,34.84372392,4.6175,1017,1140,1349,1072
113.0660613,34.84590343,4.5925,1055,1152,1359,1046
113.0721978,34.84943331,2.48,1055,1186,1378,1003
113.0611961,34.84183732,3.635,1049,1181,1375,966
113.0622243,34.83764576,3.5925,846,962,895,1399
113.0607984,34.84131793,3.645,1049,1198,1378,980
113.0604303,34.83947211,8.0125,1011,1153,1376,1212
113.0614825,34.84174968,4.7375,1033,1185,1371,970
113.0715484,34.85071979,2.1275,1053,1151,1360,1047
113.0674752,34.84767438,4.66,1041,1162,1362,1033
113.0583155,34.84025246,0.91,1021,1143,1346,1087
113.067991,34.84488748,1.655,1039,1149,1343,1052
113.0646518,34.84360465,4.8275,1017,1140,1342,1063
113.0687054,34.83849494,3.45,1112,1245,1448,1565
113.0651768,34.8439132,3.8225,1049,1155,1358,1067
113.0646624,34.84480369,4.1675,1060,1176,1380,946
113.0624284,34.83976543,1.925,823,890,836,726
113.0749838,34.8380132,1.7775,1011,1154,1329,1035
113.0623968,34.83979424,1.92,823,890,836,726
113.0584003,34.84008899,2.02,1032,1164,1346,1059
113.062346,34.84387575,1.4825,1071,1210,1380,949
113.0653416,34.84364899,2.8125,1033,1161,1375,1035
113.06274,34.84279165,3.33,1033,1194,1360,992
113.067759,34.84823853,4.1225,1045,1172,1370,1025
113.0671609,34.84563301,3.0575,1066,1194,1374,1032
113.0679898,34.84667845,2.7325,1044,1161,1367,1030
113.0644532,34.84420879,4.755,1032,1155,1355,1030
113.0628556,34.84086629,1.2325,1000,1141,1325,1089
113.0620036,34.8377125,2.955,835,878,808,815
113.0647639,34.84329737,3.2425,1028,1136,1346,1049
113.0615134,34.83791955,3.0825,824,878,794,722
