Longitude,Latitude,depth,Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8,Band_10
104.26545715332,30.3099994659424,25.81,-5.261829414,-5.315292731,-5.917349439,-5.474239024,-5.310640764,-5.211517278,-5.347893388,-5.843007383,3.0250139580991
104.27466583252,30.3020191192627,22.71,-5.940555113,-5.850865168,-5.795296305,-5.870494025,-5.799181818,-5.160493113,-5.556572126,-5.597690127,2.65256375320364
104.26594543457,30.3143329620361,15.38,-4.970582435,-4.939698375,-5.35874246,-5.344181046,-4.998545199,-4.984723218,-5.051687879,-5.49151278,3.31905924260963
104.275413513184,30.2996768951416,20.53,-5.744779406,-5.638139255,-5.72645251,-6.005690132,-5.619420508,-5.223574227,-6.197916244,-6.648154676,2.79319864961167
104.27311706543,30.3002948760986,11.51,-5.718824496,-5.457907854,-6.029009926,-6.037564164,-5.601182161,-4.932019083,-5.342051507,-6.176156915,2.92001970348935
104.267425537109,30.3244476318359,8.49,-4.730283828,-4.707003638,-4.76806999,-4.551952829,-4.394619357,-4.017049598,-4.119269337,-4.564337735,3.51229030056236
104.260528564453,30.3148441314697,22.68,-5.333912935,-5.256163976,-5.644757051,-5.300880924,-5.009317682,-4.734937423,-4.945870574,-5.494144847,3.06967896081461
104.264259338379,30.3166694641113,25.45,-4.917340979,-4.936286417,-5.491022564,-5.155632955,-5.101727099,-4.622989566,-4.969268784,-5.385011235,3.3218361322792
104.261367797852,30.3144874572754,20.1,-5.095350082,-5.502812528,-5.614804983,-5.339218916,-5.27388728,-4.755612057,-4.794763354,-5.499614812,2.88779280865888
104.259391784668,30.3138446807861,25.27,-5.116099717,-5.422078161,-5.447988212,-5.276792647,-5.118825608,-4.735566367,-4.839737246,-5.558157623,2.9460242769052
104.257537841797,30.311939239502,18.97,-5.093924351,-5.235631575,-5.567802038,-5.396640372,-4.827328269,-4.608658804,-4.895506624,-5.385889156,3.08533865390224
104.26830291748,30.31813622,26.55,-4.776186338,-4.696425437,-5.111071007,-4.971151503,-4.870304003,-4.524267851,-4.816018509,-5.314390487,3.52125053927943
104.267875671387,30.3202991485596,15.02,-4.759982603,-4.825734694,-5.092586098,-4.81013397,-4.694224465,-4.408575404,-4.485183114,-5.162337174,3.41274281401607
104.26872253418,30.3181381225586,26.37,-4.758882519,-4.926047696,-5.166146256,-5.122440984,-4.836657737,-4.464765532,-4.583701593,-5.316710373,3.33017967869067
104.267539978027,30.3232746124268,8.02,-4.739121496,-5.015255414,-4.997558208,-4.760444069,-4.568778431,-4.155697481,-4.384360721,-4.838992766,3.25802489945251
104.258369445801,30.3119430541992,25.24,-5.156426894,-5.243902178,-5.618324025,-5.288964821,-5.038855727,-4.681760264,-4.812819875,-5.473085647,3.07902163894765
104.26774597168,30.3235473632812,11.85,-4.817894613,-4.84151781,-4.930203363,-4.744287119,-4.51637412,-4.139014459,-4.311780494,-4.870197701,3.39965602118808
104.266128540039,30.3176727294922,24.49,-4.749717299,-4.854389216,-5.264935234,-4.906839611,-4.883004279,-4.651728744,-4.811874318,-5.413130056,3.38900975593027
104.266723632812,30.3212852478027,18.52,-4.691064582,-4.935487206,-4.899620204,-4.851024673,-4.74722471,-4.392158653,-4.503405339,-5.153451459,3.32248684107073
104.26432800293,30.3075561523438,10.7,-5.019111943,-5.185446833,-5.690638242,-5.527151404,-5.29959619,-4.649216427,-5.02645333,-5.187754158,3.12393141948149
104.265098571777,30.3154106140137,13.46,-5.199907132,-5.117033988,-5.593170655,-5.220566669,-4.987044578,-4.630760936,-4.961400857,-5.451606718,3.17725032818478
104.271102905273,30.3058795928955,13.79,-5.388499204,-5.727937215,-6.284693744,-5.899283554,-5.44482267,-5.417056896,-5.654496706,-6.064615328,2.73259873685543
104.267669677734,30.3200283050537,17.19,-4.759735608,-4.752115115,-5.044542992,-4.862998712,-4.756665675,-4.443999668,-4.639443506,-5.184694645,3.47424338125788
104.270042419434,30.3087615966797,26.75,-5.246976066,-5.270089866,-5.687630495,-5.560239573,-5.12125421,-4.999012591,-5.418539078,-6.195811404,3.0591015452957
104.266792297363,30.3120822906494,22.14,-5.156577459,-5.47331616,-5.745647173,-5.42928208,-5.328871097,-4.926272397,-5.257435128,-5.266978411,2.90891557454238
104.273010253906,30.3011074066162,18.65,-5.364982902,-5.196317071,-5.9565212,-5.612741396,-5.556426452,-5.068421204,-5.365764011,-5.780512999,3.11553419690348
104.272888183594,30.3031826019287,14.11,-5.68400043,-5.676074855,-6.19038341,-6.178441676,-5.190732796,-5.037387666,-5.220888031,-5.692738339,2.76738225263283
104.267150878906,30.3194828033447,20.1,-4.723377562,-4.684076774,-5.118286216,-4.845512001,-4.790487913,-4.455000217,-4.683037706,-5.380840683,3.53172870915796
104.262603759766,30.315938949585,25.18,-4.913873324,-5.123377556,-5.452458197,-5.361711399,-5.032593808,-4.721461729,-4.875404594,-5.497503066,3.17227266834442
104.260131835938,30.3123149871826,26.36,-5.136259239,-5.062518273,-5.58706366,-5.352542378,-5.066841405,-4.730697576,-4.867644601,-5.289016906,3.22030484148957
104.266342163086,30.3165016174316,25.05,-4.930417871,-4.843542801,-5.219153735,-5.168417073,-4.854744301,-4.500688477,-4.905053507,-5.509794409,3.39797953126614
104.264579772949,30.3151378631592,11.65,-4.980105738,-5.115728314,-5.514576884,-5.218281759,-4.907977854,-4.687620605,-4.738822201,-5.242601459,3.17827570517929
104.263740539551,30.316125869751,19.53,-5.095720465,-4.981523381,-5.357400638,-4.924877252,-4.937799942,-4.570599977,-4.810685649,-5.530118914,3.28516374414899
104.26993560791,30.3087596893311,26.21,-5.246170769,-5.269143174,-5.600280588,-5.526158593,-5.121938908,-5.105284144,-5.418539078,-6.027457044,3.05981948237037
104.267387390137,30.3159656524658,26.66,-5.122049358,-4.853770922,-5.526281471,-5.254635685,-4.897561517,-4.635759109,-4.967748415,-5.488261744,3.38952061969196
